symbol,quarter_end,filing_date,roce_ttm,eps_growth_yoy,de_ratio,promoter_pledge_pct,revenue_growth_yoy,margin_expansion
HDFCBANK,2024-03-31,2024-05-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2024-06-30,2024-08-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2024-09-30,2024-11-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2024-12-31,2025-02-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2025-03-31,2025-05-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2025-06-30,2025-08-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2025-09-30,2025-11-15,7.02,6.79,0.0,0.0,12.0,2.0
HDFCBANK,2025-12-31,2026-02-15,7.02,6.79,0.0,0.0,12.0,2.0
INFY,2021-03-31,2021-05-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2021-06-30,2021-08-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2021-09-30,2021-11-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2021-12-31,2022-02-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2022-03-31,2022-05-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2022-06-30,2022-08-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2022-09-30,2022-11-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2022-12-31,2023-02-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2023-03-31,2023-05-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2023-06-30,2023-08-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2023-09-30,2023-11-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2023-12-31,2024-02-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2024-03-31,2024-05-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2024-06-30,2024-08-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2024-09-30,2024-11-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2024-12-31,2025-02-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2025-03-31,2025-05-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2025-06-30,2025-08-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2025-09-30,2025-11-15,40.0,5.52,0.1,0.0,12.0,2.0
INFY,2025-12-31,2026-02-15,40.0,5.52,0.1,0.0,12.0,2.0
ICICIBANK,2021-03-31,2021-05-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2021-06-30,2021-08-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2021-09-30,2021-11-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2021-12-31,2022-02-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2022-03-31,2022-05-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2022-06-30,2022-08-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2022-09-30,2022-11-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2022-12-31,2023-02-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2023-03-31,2023-05-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2023-06-30,2023-08-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2023-09-30,2023-11-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2023-12-31,2024-02-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2024-03-31,2024-05-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2024-06-30,2024-08-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2024-09-30,2024-11-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2024-12-31,2025-02-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2025-03-31,2025-05-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2025-06-30,2025-08-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2025-09-30,2025-11-15,7.18,7.53,0.0,0.0,12.0,2.0
ICICIBANK,2025-12-31,2026-02-15,7.18,7.53,0.0,0.0,12.0,2.0
HINDUNILVR,2021-03-31,2021-05-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2021-06-30,2021-08-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2021-09-30,2021-11-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2021-12-31,2022-02-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2022-03-31,2022-05-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2022-06-30,2022-08-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2022-09-30,2022-11-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2022-12-31,2023-02-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2023-03-31,2023-05-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2023-06-30,2023-08-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2023-09-30,2023-11-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2023-12-31,2024-02-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2024-03-31,2024-05-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2024-06-30,2024-08-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2024-09-30,2024-11-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2024-12-31,2025-02-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2025-03-31,2025-05-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2025-06-30,2025-08-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2025-09-30,2025-11-15,28.4,13.33,0.03,0.0,12.0,2.0
HINDUNILVR,2025-12-31,2026-02-15,28.4,13.33,0.03,0.0,12.0,2.0
ITC,2021-03-31,2021-05-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2021-06-30,2021-08-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2021-09-30,2021-11-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2021-12-31,2022-02-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2022-03-31,2022-05-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2022-06-30,2022-08-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2022-09-30,2022-11-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2022-12-31,2023-02-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2023-03-31,2023-05-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2023-06-30,2023-08-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2023-09-30,2023-11-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2023-12-31,2024-02-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2024-03-31,2024-05-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2024-06-30,2024-08-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2024-09-30,2024-11-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2024-12-31,2025-02-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2025-03-31,2025-05-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2025-06-30,2025-08-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2025-09-30,2025-11-15,38.9,-1.13,0.03,0.0,12.0,2.0
ITC,2025-12-31,2026-02-15,38.9,-1.13,0.03,0.0,12.0,2.0
SBIN,2021-03-31,2021-05-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2021-06-30,2021-08-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2021-09-30,2021-11-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2021-12-31,2022-02-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2022-03-31,2022-05-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2022-06-30,2022-08-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2022-09-30,2022-11-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2022-12-31,2023-02-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2023-03-31,2023-05-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2023-06-30,2023-08-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2023-09-30,2023-11-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2023-12-31,2024-02-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2024-03-31,2024-05-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2024-06-30,2024-08-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2024-09-30,2024-11-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2024-12-31,2025-02-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2025-03-31,2025-05-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2025-06-30,2025-08-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2025-09-30,2025-11-15,6.13,7.5,0.0,0.0,12.0,2.0
SBIN,2025-12-31,2026-02-15,6.13,7.5,0.0,0.0,12.0,2.0
BHARTIARTL,2021-03-31,2021-05-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2021-06-30,2021-08-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2021-09-30,2021-11-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2021-12-31,2022-02-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2022-03-31,2022-05-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2022-06-30,2022-08-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2022-09-30,2022-11-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2022-12-31,2023-02-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2023-03-31,2023-05-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2023-06-30,2023-08-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2023-09-30,2023-11-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2023-12-31,2024-02-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2024-03-31,2024-05-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2024-06-30,2024-08-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2024-09-30,2024-11-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2024-12-31,2025-02-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2025-03-31,2025-05-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2025-06-30,2025-08-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2025-09-30,2025-11-15,17.6,54.47,1.31,0.0,12.0,2.0
BHARTIARTL,2025-12-31,2026-02-15,17.6,54.47,1.31,0.0,12.0,2.0
KOTAKBANK,2021-03-31,2021-05-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2021-06-30,2021-08-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2021-09-30,2021-11-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2021-12-31,2022-02-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2022-03-31,2022-05-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2022-06-30,2022-08-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2022-09-30,2022-11-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2022-12-31,2023-02-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2023-03-31,2023-05-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2023-06-30,2023-08-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2023-09-30,2023-11-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2023-12-31,2024-02-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2024-03-31,2024-05-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2024-06-30,2024-08-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2024-09-30,2024-11-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2024-12-31,2025-02-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2025-03-31,2025-05-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2025-06-30,2025-08-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2025-09-30,2025-11-15,6.98,3.65,0.0,0.0,12.0,2.0
KOTAKBANK,2025-12-31,2026-02-15,6.98,3.65,0.0,0.0,12.0,2.0
LT,2021-03-31,2021-05-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2021-06-30,2021-08-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2021-09-30,2021-11-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2021-12-31,2022-02-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2022-03-31,2022-05-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2022-06-30,2022-08-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2022-09-30,2022-11-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2022-12-31,2023-02-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2023-03-31,2023-05-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2023-06-30,2023-08-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2023-09-30,2023-11-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2023-12-31,2024-02-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2024-03-31,2024-05-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2024-06-30,2024-08-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2024-09-30,2024-11-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2024-12-31,2025-02-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2025-03-31,2025-05-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2025-06-30,2025-08-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2025-09-30,2025-11-15,14.6,8.28,1.15,0.0,12.0,2.0
LT,2025-12-31,2026-02-15,14.6,8.28,1.15,0.0,12.0,2.0
AXISBANK,2021-03-31,2021-05-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2021-06-30,2021-08-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2021-09-30,2021-11-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2021-12-31,2022-02-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2022-03-31,2022-05-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2022-06-30,2022-08-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2022-09-30,2022-11-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2022-12-31,2023-02-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2023-03-31,2023-05-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2023-06-30,2023-08-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2023-09-30,2023-11-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2023-12-31,2024-02-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2024-03-31,2024-05-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2024-06-30,2024-08-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2024-09-30,2024-11-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2024-12-31,2025-02-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2025-03-31,2025-05-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2025-06-30,2025-08-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2025-09-30,2025-11-15,6.24,1.5,0.0,0.0,12.0,2.0
AXISBANK,2025-12-31,2026-02-15,6.24,1.5,0.0,0.0,12.0,2.0
ASIANPAINT,2021-03-31,2021-05-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2021-06-30,2021-08-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2021-09-30,2021-11-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2021-12-31,2022-02-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2022-03-31,2022-05-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2022-06-30,2022-08-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2022-09-30,2022-11-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2022-12-31,2023-02-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2023-03-31,2023-05-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2023-06-30,2023-08-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2023-09-30,2023-11-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2023-12-31,2024-02-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2024-03-31,2024-05-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2024-06-30,2024-08-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2024-09-30,2024-11-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2024-12-31,2025-02-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2025-03-31,2025-05-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2025-06-30,2025-08-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2025-09-30,2025-11-15,26.3,-4.43,0.18,0.0,12.0,2.0
ASIANPAINT,2025-12-31,2026-02-15,26.3,-4.43,0.18,0.0,12.0,2.0
MARUTI,2021-03-31,2021-05-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2021-06-30,2021-08-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2021-09-30,2021-11-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2021-12-31,2022-02-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2022-03-31,2022-05-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2022-06-30,2022-08-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2022-09-30,2022-11-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2022-12-31,2023-02-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2023-03-31,2023-05-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2023-06-30,2023-08-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2023-09-30,2023-11-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2023-12-31,2024-02-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2024-03-31,2024-05-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2024-06-30,2024-08-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2024-09-30,2024-11-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2024-12-31,2025-02-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2025-03-31,2025-05-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2025-06-30,2025-08-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2025-09-30,2025-11-15,19.0,2.05,0.0,0.0,12.0,2.0
MARUTI,2025-12-31,2026-02-15,19.0,2.05,0.0,0.0,12.0,2.0
TITAN,2021-03-31,2021-05-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2021-06-30,2021-08-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2021-09-30,2021-11-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2021-12-31,2022-02-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2022-03-31,2022-05-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2022-06-30,2022-08-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2022-09-30,2022-11-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2022-12-31,2023-02-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2023-03-31,2023-05-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2023-06-30,2023-08-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2023-09-30,2023-11-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2023-12-31,2024-02-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2024-03-31,2024-05-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2024-06-30,2024-08-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2024-09-30,2024-11-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2024-12-31,2025-02-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2025-03-31,2025-05-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2025-06-30,2025-08-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2025-09-30,2025-11-15,20.5,18.11,1.95,0.0,12.0,2.0
TITAN,2025-12-31,2026-02-15,20.5,18.11,1.95,0.0,12.0,2.0
SUNPHARMA,2021-03-31,2021-05-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2021-06-30,2021-08-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2021-09-30,2021-11-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2021-12-31,2022-02-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2022-03-31,2022-05-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2022-06-30,2022-08-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2022-09-30,2022-11-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2022-12-31,2023-02-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2023-03-31,2023-05-15,20.5,8.1,0.06,0.0,12.0,2.0
SUNPHARMA,2023-06-30,2023-08-15,20.5,8.1,0.06,0.0,12.0,2.0
